# eCommerce scenario catalog (TAB-separated). Parsed by common.sh with awk.
# Columns: id	name	method	path	body	target	diagnostic	connections
# Auth is handled by labs/ecommerce/loadgen/k6.js (setup() login + bearer);
# body is empty for GET rows (two adjacent tabs). Fields never contain a tab.
E00	control-products	GET	/api/products?page=1&pageSize=25		api	trace	64
E01	login-throughput	POST	/api/auth/login	{"username":"user1","password":"Password123!"}	api	trace	32
E02	product-list-shallow	GET	/api/products?page=1&pageSize=25		api	stacks	64
E03	product-list-deep	GET	/api/products?page=500&pageSize=25		api	stacks	64
E04	product-list-large-page	GET	/api/products?page=1&pageSize=100		api	trace	48
E05	product-search	GET	/api/products?page=1&pageSize=25&search=feature-3		api	trace	64
E06	product-get	GET	/api/products/1234		api	trace	64
E07	product-create	POST	/api/products	{"name":"Perf Product","description":"created under load","price":19.99,"stock":100,"categoryId":3}	api	stacks	32
E08	product-update	PATCH	/api/products/1234	{"price":24.99,"stock":50}	api	stacks	32
E09	orders-list-shallow	GET	/api/orders?page=1&pageSize=25		api	stacks	64
E10	orders-list-deep	GET	/api/orders?page=50&pageSize=25		api	stacks	48
E11	order-get	GET	/api/orders/400		api	trace	64
E12	order-create	POST	/api/orders	{"items":[{"productId":1,"quantity":2},{"productId":2,"quantity":1}]}	api	stacks	32
E13	users-list	GET	/api/users?page=1&pageSize=25		api	trace	48
E14	users-me	GET	/api/users/me		api	trace	64
